ip,source,category
171.25.193.77,tor_exit_nodes,anonymizer
171.25.193.20,tor_exit_nodes,anonymizer
176.10.99.200,tor_exit_nodes,anonymizer
185.220.101.1,tor_exit_nodes,anonymizer
185.220.101.33,tor_exit_nodes,anonymizer
192.42.116.16,tor_exit_nodes,anonymizer
195.176.3.23,tor_exit_nodes,anonymizer
195.176.3.24,tor_exit_nodes,anonymizer
212.47.227.101,tor_exit_nodes,anonymizer
213.16.69.178,tor_exit_nodes,anonymizer
217.115.132.15,tor_exit_nodes,anonymizer
222.148.185.106,tor_exit_nodes,anonymizer
45.33.32.156,abuse_ch,c2_server
104.131.0.69,abuse_ch,c2_server
104.236.198.48,abuse_ch,c2_server
138.201.207.50,abuse_ch,c2_server
159.89.53.74,abuse_ch,c2_server
167.99.121.143,abuse_ch,c2_server
178.62.199.188,abuse_ch,c2_server
185.56.83.83,abuse_ch,c2_server
188.166.105.188,abuse_ch,c2_server
192.241.224.123,abuse_ch,c2_server
198.51.100.34,abuse_ch,c2_server
207.154.210.4,abuse_ch,c2_server
23.129.64.210,abuse_ch,c2_server
45.142.212.123,abuse_ch,c2_server
45.155.187.103,abuse_ch,c2_server
51.15.246.218,abuse_ch,c2_server
62.210.105.116,abuse_ch,c2_server
77.247.181.122,abuse_ch,c2_server
89.234.157.254,abuse_ch,c2_server
91.121.87.10,abuse_ch,c2_server
94.102.49.190,abuse_ch,c2_server
185.220.101.21,emerging_threats,scanner
185.220.101.22,emerging_threats,scanner
185.220.101.23,emerging_threats,scanner
185.220.101.24,emerging_threats,scanner
185.220.101.25,emerging_threats,scanner
185.220.101.26,emerging_threats,scanner
185.220.101.27,emerging_threats,scanner
185.220.101.28,emerging_threats,scanner
185.220.101.29,emerging_threats,scanner
185.220.101.30,emerging_threats,scanner
195.176.3.11,emerging_threats,scanner
195.176.3.12,emerging_threats,scanner
213.202.235.130,emerging_threats,scanner
217.115.132.105,emerging_threats,scanner
104.248.50.87,abuse_ch,botnet_drone
134.122.111.210,abuse_ch,botnet_drone
139.59.15.154,abuse_ch,botnet_drone
142.93.152.110,abuse_ch,botnet_drone
157.245.168.92,abuse_ch,botnet_drone
159.65.77.168,abuse_ch,botnet_drone
161.35.112.159,abuse_ch,botnet_drone
164.90.159.164,abuse_ch,botnet_drone
167.99.171.237,abuse_ch,botnet_drone
174.138.46.165,abuse_ch,botnet_drone
178.128.219.119,abuse_ch,botnet_drone
185.199.110.236,abuse_ch,botnet_drone
192.241.204.195,abuse_ch,botnet_drone
193.119.173.203,abuse_ch,botnet_drone
206.189.37.100,abuse_ch,botnet_drone
192.0.2.1,abuse_ch,spam
192.0.2.2,emerging_threats,c2_server
192.0.2.3,alienvault,brute_force
192.0.2.4,alienvault,malware
192.0.2.5,spamhaus,phishing
192.0.2.6,spamhaus,malware
192.0.2.7,emerging_threats,scanner
192.0.2.8,emerging_threats,c2_server
192.0.2.9,abuse_ch,spam
192.0.2.10,abuse_ch,malware
192.0.2.11,alienvault,c2_server
192.0.2.12,alienvault,brute_force
192.0.2.13,emerging_threats,spam
192.0.2.14,emerging_threats,phishing
192.0.2.15,emerging_threats,phishing
192.0.2.16,spamhaus,spam
192.0.2.17,emerging_threats,brute_force
192.0.2.18,alienvault,c2_server
192.0.2.19,spamhaus,brute_force
192.0.2.20,abuse_ch,phishing
192.0.2.21,emerging_threats,scanner
192.0.2.22,abuse_ch,c2_server
192.0.2.23,emerging_threats,scanner
192.0.2.24,spamhaus,phishing
192.0.2.25,abuse_ch,scanner
192.0.2.26,alienvault,malware
192.0.2.27,alienvault,scanner
192.0.2.28,abuse_ch,c2_server
192.0.2.29,spamhaus,phishing
192.0.2.30,abuse_ch,scanner
192.0.2.31,emerging_threats,c2_server
192.0.2.32,spamhaus,phishing
192.0.2.33,emerging_threats,spam
192.0.2.34,emerging_threats,spam
192.0.2.35,emerging_threats,brute_force
192.0.2.36,emerging_threats,c2_server
192.0.2.37,emerging_threats,brute_force
192.0.2.38,alienvault,brute_force
192.0.2.39,emerging_threats,malware
192.0.2.40,alienvault,spam
192.0.2.41,alienvault,brute_force
192.0.2.42,alienvault,spam
192.0.2.43,alienvault,scanner
192.0.2.44,abuse_ch,phishing
192.0.2.45,abuse_ch,scanner
192.0.2.46,abuse_ch,phishing
192.0.2.47,spamhaus,scanner
192.0.2.48,spamhaus,phishing
192.0.2.49,alienvault,scanner
192.0.2.50,abuse_ch,malware
192.0.2.51,spamhaus,scanner
192.0.2.52,alienvault,scanner
192.0.2.53,spamhaus,scanner
192.0.2.54,alienvault,phishing
192.0.2.55,abuse_ch,c2_server
192.0.2.56,abuse_ch,phishing
192.0.2.57,spamhaus,brute_force
192.0.2.58,abuse_ch,phishing
192.0.2.59,abuse_ch,scanner
192.0.2.60,alienvault,phishing
192.0.2.61,spamhaus,malware
192.0.2.62,emerging_threats,phishing
192.0.2.63,abuse_ch,malware
192.0.2.64,spamhaus,scanner
192.0.2.65,emerging_threats,brute_force
192.0.2.66,alienvault,malware
192.0.2.67,alienvault,c2_server
192.0.2.68,alienvault,spam
192.0.2.69,alienvault,c2_server
192.0.2.70,abuse_ch,malware
192.0.2.71,alienvault,spam
192.0.2.72,abuse_ch,scanner
192.0.2.73,abuse_ch,phishing
192.0.2.74,spamhaus,scanner
192.0.2.75,emerging_threats,phishing
192.0.2.76,abuse_ch,spam
192.0.2.77,alienvault,c2_server
192.0.2.78,emerging_threats,spam
192.0.2.79,alienvault,phishing
192.0.2.80,spamhaus,spam
192.0.2.81,abuse_ch,malware
192.0.2.82,abuse_ch,scanner
192.0.2.83,alienvault,scanner
192.0.2.84,spamhaus,brute_force
192.0.2.85,spamhaus,malware
192.0.2.86,alienvault,brute_force
192.0.2.87,abuse_ch,spam
192.0.2.88,alienvault,scanner
192.0.2.89,alienvault,malware
192.0.2.90,spamhaus,scanner
192.0.2.91,alienvault,malware
192.0.2.92,abuse_ch,c2_server
192.0.2.93,alienvault,c2_server
192.0.2.94,abuse_ch,scanner
192.0.2.95,emerging_threats,malware
192.0.2.96,alienvault,brute_force
192.0.2.97,abuse_ch,scanner
192.0.2.98,abuse_ch,c2_server
192.0.2.99,alienvault,c2_server
192.0.2.100,spamhaus,c2_server
192.0.2.101,alienvault,phishing
192.0.2.102,spamhaus,c2_server
192.0.2.103,spamhaus,c2_server
192.0.2.104,spamhaus,phishing
192.0.2.105,emerging_threats,spam
192.0.2.106,alienvault,c2_server
192.0.2.107,spamhaus,malware
192.0.2.108,spamhaus,c2_server
192.0.2.109,alienvault,phishing
192.0.2.110,abuse_ch,spam
192.0.2.111,abuse_ch,brute_force
192.0.2.112,emerging_threats,c2_server
192.0.2.113,emerging_threats,phishing
192.0.2.114,abuse_ch,brute_force
192.0.2.115,spamhaus,c2_server
192.0.2.116,spamhaus,phishing
192.0.2.117,spamhaus,brute_force
192.0.2.118,emerging_threats,brute_force
192.0.2.119,alienvault,c2_server
192.0.2.120,alienvault,spam
192.0.2.121,emerging_threats,scanner
192.0.2.122,abuse_ch,phishing
192.0.2.123,abuse_ch,phishing
192.0.2.124,emerging_threats,malware
192.0.2.125,emerging_threats,brute_force
192.0.2.126,emerging_threats,brute_force
192.0.2.127,abuse_ch,c2_server
192.0.2.128,emerging_threats,malware
192.0.2.129,abuse_ch,c2_server
192.0.2.130,spamhaus,malware
192.0.2.131,emerging_threats,spam
192.0.2.132,alienvault,malware
192.0.2.133,abuse_ch,phishing
192.0.2.134,alienvault,malware
192.0.2.135,alienvault,malware
192.0.2.136,spamhaus,c2_server
192.0.2.137,abuse_ch,c2_server
192.0.2.138,alienvault,malware
192.0.2.139,spamhaus,brute_force
192.0.2.140,alienvault,malware
192.0.2.141,emerging_threats,brute_force
192.0.2.142,abuse_ch,c2_server
192.0.2.143,abuse_ch,spam
192.0.2.144,spamhaus,scanner
192.0.2.145,abuse_ch,c2_server
192.0.2.146,abuse_ch,c2_server
192.0.2.147,spamhaus,c2_server
192.0.2.148,abuse_ch,c2_server
192.0.2.149,emerging_threats,c2_server
192.0.2.150,alienvault,spam
192.0.2.151,alienvault,phishing
192.0.2.152,alienvault,phishing
192.0.2.153,abuse_ch,brute_force
192.0.2.154,emerging_threats,phishing
192.0.2.155,spamhaus,spam
192.0.2.156,spamhaus,phishing
192.0.2.157,emerging_threats,spam
192.0.2.158,abuse_ch,spam
192.0.2.159,spamhaus,brute_force
192.0.2.160,alienvault,malware
192.0.2.161,abuse_ch,spam
192.0.2.162,alienvault,brute_force
192.0.2.163,alienvault,spam
